id,title,year,authors,source,doi_or_url,relevance_notes
P015,A Finite-State Machine (FSM)-Based Approach for Detecting SMS Phishing,2026,J. K. Das; Y. Shi,CSV Import,10.1109/SoutheastCon63549.2026.11476406,Retrieved from literature search
P021,Zero-Shot Environmental Sustainability Text Classification Based on an Adapted Bechdel Test Using LLMs,2026,S. Büyüktaş; P. Büyüktaş,CSV Import,10.1109/AICCONF69182.2026.11600632,Retrieved from literature search
P022,In-Context Example Selection for Few-Shot Text Classification in 5G Security Text Using LLM,2026,Ö. B. Mercan; A. G. Toprak,CSV Import,10.1109/SIU71813.2026.11636844,Retrieved from literature search
P045,Zero-Shot Prompting for SMS Spam Detection using Large Language Models,2026,B. Prasetiyo; H. Ramadhan; M. F. Al Hakim,CSV Import,10.1109/ICICT68280.2026.11510775,Retrieved from literature search
P046,Prompt Engineering Strategies for Automated Software Requirements Classification,2026,L. Zhu,CSV Import,10.1109/ICBASE70763.2026.11619374,Retrieved from literature search
P053,Adaptive Boosting LLMs for Text Classification,2026,M. Wang; Y. Zhang; C. Ren; Q. Li; P. Tiwari; B. Wang; J. Qin,CSV Import,10.1109/TNNLS.2025.3639613,Retrieved from literature search
P055,Explainable AI for Mental Health Detection from Social Media: A Comparative Study of Traditional Machine Learning and a Large Language Model,2026,C. Xie; D. Zhu; Z. Wang; H. Zhang; Z. Wei,CSV Import,10.1109/ICHI69079.2026.00235,Retrieved from literature search
P058,TEAMMix: Taxonomy Enrichment Augmentation and Minority-augmented Mixing Strategy for LLM-enhanced Weak-Supervised Hierarchical Text Classification,2026,J. Zhang; Z. Yang; S. Lei; B. Liu; Z. Wang; X. Weng; G. Amaratunga; Y. Lin; H. Wang,CSV Import,10.1109/CSCWD68734.2026.11582679,Retrieved from literature search
P081,Comparison of Traditional Machine Learning Models and Large Language Models for Multi-Label Text Classification on X (Twitter),2026,V. Yesmaya; W. Budiharto; M. S. Anggreainy; S. M. Isa; I. H. Kartowisastro,CSV Import,10.1109/IEHNS68708.2026.11607256,Retrieved from literature search
P091,Toward Zero-Shot Multi-Label Identification of Attack Techniques: Enhancing LLM Reasoning With Semantic Evidence Discovery,2026,Z. Wang; Z. Fan; Y. Li; X. Zhang; P. Dai; Z. Tian,CSV Import,10.1109/TKDE.2026.3682468,Retrieved from literature search
P094,Benchmarking DeepSeek R1-MoDCE: A Contrastive Pretraining Approach for Language Models,2026,K. N; T. S. P J; A. Koli; S. S. Habalkar; M. B. Thimmaraju,CSV Import,10.1109/ICSFT66733.2026.11507514,Retrieved from literature search
P097,LLM is Not All You Need: A Systematic Evaluation of ML vs. Foundation Models for text and image based Medical Classification,2026,M. Raval; T. Pandit; D. Upadhyay,CSV Import,10.1109/AAIML67890.2026.11498078,Retrieved from literature search
P100,Evaluating Large Language Models on Named Entity Recognition,2026,B. Ji; H. Liu; S. Li; J. Ma; J. Yu; S. -K. Ng,CSV Import,10.1109/TNNLS.2025.3636917,Retrieved from literature search
P101,Inner-Probe: Discovering Copyright-Related Data Generation in LLM Architecture,2026,Q. Ma; R. -J. Zhu; P. Liu; R. Yan; F. Zhang; L. Liang; M. Li; Z. Yu; Z. Wang; Y. Cai; T. Huang,CSV Import,10.1109/TAI.2025.3645710,Retrieved from literature search
P102,From Raw to Synthetic: Evaluating LLM-Based Data Augmentation for Sentiment Analysis,2026,B. Tekinay; M. Alp Tocoglu,CSV Import,10.1109/ACCESS.2026.3664756,Retrieved from literature search
P103,Semantic Alignment and Output Constrained Generation for Reliable LLM-based Classification,2026,J. Yang; S. Sun; Y. Wang; Y. Wang; X. Yang; C. Zhang,CSV Import,10.1109/EMC68537.2026.11441962,Retrieved from literature search
P112,LLM-PEA: Leveraging Large Language Models Against Phishing Email Attacks,2026,N. Hasan; P. BusiReddyGari; H. Zhao; Y. Ren; J. Xu; S. Zhang,CSV Import,10.1109/DSN-W70714.2026.00038,Retrieved from literature search
P116,Security Bug Report Classification: A Comparative Study of Convolutional Neural Networks and Large Language Models,2026,R. Dawood; S. Abdalhamid; R. Abdalkareem,CSV Import,10.1109/MI-STA68962.2026.11511275,Retrieved from literature search
P120,Charting the Unspoken: Causal Inference-Guided LLM Augmentation for Emotion Recognition in Conversation,2026,Q. Lai; Z. Gong; U. Naseem; W. Wang,CSV Import,10.1109/TAFFC.2026.3672983,Retrieved from literature search
P133,Literate Programming With LLMs? — A Study on Rosetta Code and CodeNet,2026,S. Sun; M. Staron,CSV Import,10.1109/TSE.2025.3629828,Retrieved from literature search
