id,title,authors,year,venue,doi,url,source,found_by
ALL_0001,FraudTrace: Verifying Fraudulent News to Prevent Online Scam Campaigns via a Multi-agent LLM-Based System,NH Phuc; BTH Dang; NH Quyen; PT Duy,2025,International Conference on …,N/A,,Academic API,minh_quang
ALL_0002,Federated learning for Vietnamese SMS spam detection using pre-trained PhoBERT,HQ Anh; PT Anh; PS Nguyen; PD Hung,2024,International Conference on …,N/A,,Academic API,minh_quang
ALL_0003,An effective convolutional cross-lingual language model for Vietnamese online social media mining,TM Nguyen; TM Nguyen; TV Huynh,2026,International Journal of …,N/A,,Academic API,minh_quang
ALL_0004,Building a Community-Driven Online Fraud Network Tracing System,DDR Nguyen,2026,N/A,N/A,,Academic API,minh_quang
ALL_0005,Building an Online Fraud Detection Application using Artificial Intelligence,NT Uong,2026,N/A,N/A,,Academic API,minh_quang
ALL_0006,Evasion Under Disguise: Black-Box Attacks on LLM Safety Filters,DH Le; DH Nguyen; SQ Nguyen,2026,… of the 7th International Workshop on …,N/A,,Academic API,minh_quang
ALL_0007,An LLM-based Chain-of-Response Counter-Scam System,H Kim; M Gim; D Choi; H Lee; S Bae; MY Kim,2026,arXiv preprint arXiv …,N/A,,Academic API,minh_quang
ALL_0008,Fine-Tuning LLMs to Detect SMS Spam,QV Dang,2024,… on Information and Communication Technology for …,N/A,,Academic API,minh_quang
ALL_0009,Advances in NLP techniques for detection of message-based threats in digital platforms: A systematic review,J Saias,2025,Electronics,N/A,,Academic API,minh_quang
ALL_0010,The impact of emerging phishing threats: Assessing quishing and llm-generated phishing emails against organizations,M Weinz; N Zannone; L Allodi,2025,Proceedings of the 20th …,N/A,,Academic API,minh_quang
ALL_0011,Building a Phishing URL Warning System Using Explainable Artificial Intelligence (XAI),TTH Cao; TT Tran,2026,N/A,N/A,,Academic API,minh_quang
ALL_0012,Can LLMs Keep Up? Evaluating Phishing Detection on Telegram,M Erfan; P Branco; GV Jourdan,NA,Digital Threats: Research and Practice,N/A,,Academic API,minh_quang
ALL_0013,Detecting SMS Spam Using LLM Techniques,QV Dang,2024,Congress on Smart Computing Technologies,N/A,,Academic API,minh_quang
ALL_0014,Detecting spam and malware using BERT and LLMs,S Altamimi; M Ababneh,2024,2024 25th International Arab …,N/A,,Academic API,minh_quang
ALL_0015,Phishing Website Detection via Multimodal Learning and Retrieval-Augmented Reasoning,DM Duc; NDH Son; PT Duy,2025,2025 RIVF International …,N/A,,Academic API,minh_quang
ALL_0016,DistilBERT for Efficient and Accurate Email Phishing Detection: A Benchmark Against Machine and Deep Learning Models,ML Dam; HM Chau; NTB Nguyen,2026,Ingenierie des Systemes …,N/A,,Academic API,minh_quang
ALL_0017,Towards Enhanced Human Mitigation of Vishing Attacks: Leveraging Large Language Models for Real-Time User Guidance.,G Cimino; V Deufemia,2024,DAMOCLES@ AVI,N/A,,Academic API,minh_quang
ALL_0018,Short Message Service (SMS) Phishing Attacks and Defenses: A Systematic Review,MMA Pritom; SM Sanjari; M Mia; AM Shibli,2026,arXiv preprint arXiv …,N/A,,Academic API,minh_quang
ALL_0019,E-Commerce Phishing Websites in Vietnam: An Exploratory Study,J Dwight,2026,N/A,N/A,,Academic API,minh_quang
ALL_0020,Leveraging LLMs to Support Malware Analysis from Structured and Semantic Binary Data,NK Hau; TT Anh; TN To; DTT Hien; TH Van,2026,Asian Conference on …,N/A,,Academic API,minh_quang
ALL_0021,"Machine learning techniques for phishing detection: A review of methods, challenges, and future directions",E Kytidou; T Tsikriki; G Drosatos,2025,Intelligent Decision …,N/A,,Academic API,minh_quang
ALL_0022,UEP-IQ: A Deployable Multi-modal Phishing Detection Framework,TT Huynh; HP Thanh; GH Le; TND Quoc,2026,… in Engineering Science,N/A,,Academic API,minh_quang
ALL_0023,VKU Forum-Internal Discussion Platform Integrating AI to Detect Harmful Content and Recommend Appropriate Content,QV Bui; PN Dam,2026,N/A,N/A,,Academic API,minh_quang
ALL_0024,ViTrustKOL: A Vietnamese Dataset for Consumer Trust Classification Toward Key Opinion Leaders,H Chau; LT Le; PC Lam; ATH Nguyen; TH Do,2025,… on Information and …,N/A,,Academic API,minh_quang
ALL_0025,MANDO-LLM: Heterogeneous graph transformers with large language models for smart contract vulnerability detection,NM Nguyen; HH Nguyen; T Long Le; Z Ahmadi,2026,ACM Transactions on …,N/A,,Academic API,minh_quang
ALL_0026,An english-swahili email spam detection model for improved accuracy using convolutional neural networks,L Sankaine; JG Ndia; D Kaburu,2025,Mesopotamian …,N/A,,Academic API,minh_quang
ALL_0027,Key Opinion Leaders,ATH Nguyen; TH Do; HM Le,NA,"… , SOICT 2025, Nha Trang City, Vietnam …",N/A,,Academic API,minh_quang
ALL_0028,"LLMs: A comprehensive survey of applications, challenges, datasets, models, limitations, and future prospects",MU Hadi; Q Al-Tashi; R Qureshi; A Shah; A Muneer,2024,TechRxiv,N/A,,Academic API,minh_quang
ALL_0029,LPDetective: Dusting the LLM Chats for Prompt Template Abusers.,Y Luo; Q Shen; Z Wu,2025,IJCAI,N/A,,Academic API,minh_quang
ALL_0030,Assessing the efficiency of transformer models with varying sizes for text classification: A study of rule-based annotation with DistilBERT and other transformers,A Sbei; K ElBedoui; W Barhoumi,2025,Vietnam Journal of Computer …,N/A,,Academic API,minh_quang
ALL_0031,Graph–Beam Retriever: A Lightweight Framework for Evidence Selection in Vietnamese Fact Verification,TPM Suong; NTT Nha; B Vo; DM Hoa,2025,… Conference on Intelligent …,N/A,,Academic API,minh_quang
ALL_0032,A weakly supervised data labeling framework for machine lexical normalization in vietnamese social media,DH Nguyen; ATH Nguyen; K Van Nguyen,2025,Cognitive Computation,N/A,,Academic API,minh_quang
ALL_0033,Lost in translation: analyzing non-English cybercrime forums,M Mischinger; J Hughes; F Vitiugin,2025,… on Electronic Crime …,N/A,,Academic API,minh_quang
ALL_0034,Sandwich attack: Multi-language mixture adaptive attack on llms,B Upadhayay; V Behzadan,2024,Proceedings of the 4th Workshop on …,N/A,,Academic API,minh_quang
ALL_0035,The dangers of indirect prompt injection attacks on LLM-based autonomous web navigation agents: A demonstration,S Johnson; V Pham; T Le,2025,… of the 2025 Conference on Empirical …,N/A,,Academic API,minh_quang
ALL_0036,A Large-Scale Vietnamese News Dataset for Text Classification: Construction and Evaluation,BN Chau; D Duong; P Tran,2026,IEEE Access,N/A,,Academic API,minh_quang
ALL_0037,A comparison of machine learning algorithms for zero-shot cross-lingual phishing detection,D Staples,2023,N/A,N/A,,Academic API,minh_quang
ALL_0038,Manipulating llm web agents with indirect prompt injection attack via html accessibility tree,S Johnson; V Pham; T Le,2025,arXiv preprint arXiv:2507.14799,N/A,,Academic API,minh_quang
ALL_0039,Multimodal phishing detection on social networking sites: A systematic review,T Wangchuk; T Gonsalves,2025,IEEE Access,N/A,,Academic API,minh_quang
ALL_0040,PRECISION: A Structured Prompting Framework for Optimizing Large Language Model Interactions,T Pham; HP Thanh,2025,… on Applying New Technology in Green …,N/A,,Academic API,minh_quang
ALL_0041,An ontology-based representation of knowledge for specifying ransomware behavior,MD Hoang; DA Nguyen; NH Nguyen,2025,… on Digital Arts …,N/A,,Academic API,minh_quang
ALL_0042,Can AI Models be Jailbroken to Phish Elderly Victims? An End-to-End Evaluation,F Heiding; S Lermen,2025,arXiv preprint arXiv:2511.11759,N/A,,Academic API,minh_quang
ALL_0043,A Deep Learning for Arabic SMS Phishing Based on URLs Detection.,S Alsufyani; S Alajmani,2025,International Journal of Advanced …,N/A,,Academic API,minh_quang
