id,title,year,authors,source,doi_or_url,relevance_notes
P005,CrisisSense-LLM: instruction fine-tuned large language model for multi-label social media text classification in disaster informatics,2026,"Kai Yin, Bo Li, Chengkai Liu, Ali Mostafavi, Xia Hu",CrossRef,10.1016/j.aei.2026.104836,Retrieved from literature search
P013,Sentiment Classification of Gaza War Headlines: A Comparative Analysis of Large Language Models and Arabic Fine-Tuned BERT Models,2026,"Amr Eleraqi, Hager Abdeltawab, Professor Abdel Hadi Ahmed",CrossRef,10.2139/ssrn.6332158,Retrieved from literature search
P023,FraudSMSWalker: Benchmarking Agentic Large Language Models for SMS-to-Webpage Fraud Detection,2026,"Y. H. Zhou, Z. M. Ma, Y. J. Zhou, Y. T. Li, H. X. Xiang, Y. M. Cheng, T. L. Chen, K. J. Zhang, Z. H. Nan, J. H. Ni, Z. Wu, Q. Y. Pan, S. Zhang, S. Cheng, M. Y. Luo",ArXiv,10.48550/arXiv.2606.16659v1,Retrieved from literature search
P024,A Regime Theory of Controller Class Selection for LLM Action Decisions,2026,"Zhaoyang Jiang, Zhizhong Fu, Yunsoo Kim, Jiacong Mi, Zicheng Li, Xuanqi Peng, Honghan Wu",ArXiv,10.48550/arXiv.2605.06339v1,Retrieved from literature search
P025,GuardPhish: Securing Open-Source LLMs from Phishing Abuse,2026,"Rina Mishra, Gaurav Varshney, Doddipatla Sesha Sahithi",ArXiv,10.48550/arXiv.2604.17313v1,Retrieved from literature search
P026,Agentic Knowledge Distillation: Autonomous Training of Small Language Models for SMS Threat Detection,2026,"Adel ElZemity, Joshua Sylvester, Budi Arief, Rogério De Lemos",ArXiv,10.48550/arXiv.2602.10869v1,Retrieved from literature search
P042,Fraud SMS Spam Detection Using Machine Learning,2026,Unknown Authors,CrossRef,10.64388/irev9i11-1717972,Retrieved from literature search
P048,CardioLLM: A Fine-Tuned Large Language Model for Cardiac Condition Prediction from Clinical Notes,2026,Krishiv Bhatia,CrossRef,10.65161/recsfewcwzawc9vk7,Retrieved from literature search
P049,Semantic information from smashed data: text reconstruction attack on phishing detection models in split learning,2026,"Yushin Kim, Jungin Kim, Yongseok Kwon, Seyoung Ahn, Sunghyun Cho",OpenAlex,10.1007/s10207-026-01311-4,Retrieved from literature search
P050,Prompt Injection as an Architecture-Specific Attack Surface: Comparing LLM-Based and Traditional ML Spam Classifiers Under Adversarial Conditions,2026,Ammar Asif,OpenAlex,10.5281/zenodo.21939849,Retrieved from literature search
P051,PIPES: Securing Agent Perception with Provenance and Priors,2026,"Sanjay Kariyappa, Severin Klingler, G. Edward Suh",OpenAlex,10.48550/arxiv.2608.12789,Retrieved from literature search
P052,Synthetic Persona Pretraining: Alignment from Token Zero,2026,"Julian Minder, Viktor Moskvoretskii, Raghav Singhal, Difan Jiao, Andy Arditi, Shaobo Cui, Yiderigun Borjigin, Kartik Bali, Stefan Krsteski, Harsh Raj, Huu Nguyen, Jannik Brinkmann, Ashton Anderson, Roland Aydin, Robert West",OpenAlex,10.48550/arxiv.2608.13482,Retrieved from literature search
P053,Adversarial Robustness in Smishing Detection: A Comparative Analysis of Adversarial Fragility in Classical vs. Transformer-Based Detection Systems,2026,"Denzel Chiuseni, Athanase Bahizire, Silva Hama, Jema David Ndibwile",OpenAlex,10.48550/arxiv.2608.12889,Retrieved from literature search
